GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|YEAR|SCHENROLL|SCHENROLL_F|SCHEXPCS_PP|SCHEXPCS_PP_F|SCHEXPCSFSW_PP|SCHEXPCSFSW_PP_F|SCHEXPCSFEB_PP|SCHEXPCSFEB_PP_F|SCHEXPCSIT_PP|SCHEXPCSIT_PP_F|SCHEXPCSISW_PP|SCHEXPCSISW_PP_F|SCHEXPCSIEB_PP|SCHEXPCSIEB_PP_F|SCHEXPCSST_PP|SCHEXPCSST_PP_F|SCHEXPCSSPS_PP|SCHEXPCSSPS_PP_F|SCHEXPCSSIS_PP|SCHEXPCSSIS_PP_F|SCHEXPCSSGA_PP|SCHEXPCSSGA_PP_F|SCHEXPCSSSA_PP|SCHEXPCSSSA_PP_F
37|29|9700000US2921750|Neelyville R-IV School District, Missouri||2013|625||8450||4782||1741||5042||3214||1163||2918||456||288||384||541|
37|29|9700000US2921810|Neosho R-V School District, Missouri||2013|4617||7366||4710||1318||4731||3271||912||2267||332||424||270||280|
37|29|9700000US2921840|Nevada R-V School District, Missouri||2013|2586||8247||5319||1514||5239||3748||1062||2572||238||330||202||537|
37|29|9700000US2921875|New Bloomfield R-III School District, Missouri||2013|697||7245||3908||1349||4082||2666||912||2772||273||263||409||413|
37|29|9700000US2921880|Macon County R-IV School District, Missouri||2013|103||14883||9330||2359||8835||6010||1612||5408||563||291||1553||767|
37|29|9700000US2921940|New Franklin R-I School District, Missouri||2013|475||7187||4804||1101||4139||3025||686||2705||377||396||432||451|
37|29|9700000US2921960|New Haven School District, Missouri||2013|545||8343||5103||1503||5209||3461||1035||2703||297||261||468||538|
37|29|9700000US2922140|Newburg R-II School District, Missouri||2013|461||9067||5820||1733||5371||3818||1132||3176||319||293||557||636|
37|29|9700000US2922470|Newtown-Harris R-III School District, Missouri||2013|107||13673||8505||2505||7916||5084||1692||5056||280||336||1421||925|
37|29|9700000US2922500|Niangua R-V School District, Missouri||2013|254||8484||5280||1413||5039||3248||921||3024||339||114||654||398|
37|29|9700000US2922530|Nixa School District, Missouri||2013|5917||7788||4776||1226||5017||3725||959||2417||253||478||168||397|
37|29|9700000US2922560|Nodaway-Holt R-VII School District, Missouri||2013|223||11960||6399||1982||6991||4404||1318||4386||256||435||942||785|
37|29|9700000US2922620|Norborne R-VIII School District, Missouri||2013|212||10184||6415||1453||6156||4212||939||3571||453||528||906||542|
37|29|9700000US2922650|Normandy School District, Missouri||2013|4593||10458||6414||1581||5079||3630||781||5009||489||1165||299||727|
37|29|9700000US2922710|North Andrew County R-VI School District, Missouri||2013|382||9236||4945||1327||5403||3571||1021||3332||209||249||576||704|
37|29|9700000US2922740|North Callaway County R-I School District, Missouri||2013|1087||9187||5397||1559||5565||3870||1139||3233||418||150||520||551|
37|29|9700000US2922770|North Harrison R-III School District, Missouri||2013|250||9328||5340||1728||5448||3300||1064||3272||112||324||664||812|
37|29|9700000US2922800|North Kansas City 74 School District, Missouri||2013|19443||9831||6586||1912||5718||4164||1205||3607||363||717||129||630|
37|29|9700000US2922830|North Platte County R-I School District, Missouri||2013|602||10784||6580||1515||6571||4711||1096||3714||267||239||585||842|
37|29|9700000US2922860|Northeast Randolph County R-IV School District, Missouri||2013|435||7890||4933||1621||4749||3221||1002||2782||306||310||434||570|
37|29|9700000US2922890|Northwest R-I School District, Missouri||2013|6716||9437||6060||1671||6000||4384||1221||3078||306||246||451||584|
37|29|9700000US2922920|Northwestern R-I School District, Missouri||2013|193||10223||5907||1762||6155||3860||1181||3611||264||321||902||554|
37|29|9700000US2922950|Norwood R-I School District, Missouri||2013|448||8598||5446||1565||5292||3400||984||2777||431||603||379||219|
