STNAM,FIPST,leaid11,leanm11,ALL_COHORT_1112,ALL_RATE_1112,MAM_COHORT_1112,MAM_RATE_1112,MAS_COHORT_1112,MAS_RATE_1112,MBL_COHORT_1112,MBL_RATE_1112,MHI_COHORT_1112,MHI_RATE_1112,MTR_COHORT_1112,MTR_RATE_1112,MWH_COHORT_1112,MWH_RATE_1112,CWD_COHORT_1112,CWD_RATE_1112,ECD_COHORT_1112,ECD_RATE_1112,LEP_COHORT_1112,LEP_RATE_1112
MICHIGAN,26,2607320,Bullock Creek School District,149,90-94,1,PS,,,1,PS,4,PS,,,143,90-94,13,GE50,47,80-89,,
MICHIGAN,26,2607410,Burr Oak Community School District,27,GE80,,,1,PS,,,,,,,26,GE80,4,PS,23,GE80,,
MICHIGAN,26,2607470,Burt Township School District,6,GE50,,,,,,,,,2,PS,4,PS,1,PS,5,PS,,
MICHIGAN,26,2607530,Byron Area Schools,86,80-84,,,,,,,,,2,PS,84,80-84,12,GE50,34,60-69,,
MICHIGAN,26,2607560,Byron Center Public Schools,238,94,,,9,GE50,7,GE50,8,GE50,,,214,90-94,12,LT50,73,90-94,5,PS
MICHIGAN,26,2607590,Cadillac Area Public Schools,263,76,1,PS,1,PS,2,PS,8,GE50,1,PS,250,75-79,26,40-59,122,55-59,1,PS
MICHIGAN,26,2607620,Caledonia Community Schools,307,95,,,5,PS,5,PS,7,GE50,,,290,GE95,37,70-79,64,85-89,5,PS
MICHIGAN,26,2607690,Public Schools of Calumet,118,85-89,1,PS,,,,,,,,,117,85-89,9,LT50,56,70-79,,
MICHIGAN,26,2607710,Camden-Frontier School,41,70-79,,,,,,,,,,,41,70-79,12,GE50,22,40-59,,
MICHIGAN,26,2607800,Capac Community Schools,123,80-84,,,2,PS,1,PS,10,GE50,,,110,80-84,10,GE50,53,60-69,2,PS
MICHIGAN,26,2607890,Carman-Ainsworth Community Schools,347,82,21,GE80,7,GE50,149,85-89,6,GE50,8,GE50,156,75-79,55,50-59,206,75-79,4,PS
MICHIGAN,26,2608010,Carney-Nadeau Public Schools,16,GE80,,,,,,,,,,,16,GE80,3,PS,7,GE50,,
MICHIGAN,26,2608040,Caro Community Schools,137,80-84,,,,,2,PS,8,GE50,,,127,80-84,20,40-59,65,65-69,,
MICHIGAN,26,2608070,Carrollton Public Schools,208,59,,,1,PS,50,40-49,39,50-59,13,GE50,105,60-64,28,40-59,133,50-54,,
MICHIGAN,26,2608130,Carson City-Crystal Area Schools,80,90-94,,,,,1,PS,3,PS,,,76,90-94,11,GE50,34,GE90,,
MICHIGAN,26,2608160,Carsonville-Port Sanilac School District,78,55-59,2,PS,,,1,PS,,,,,74,55-59,9,LT50,44,50-59,,
MICHIGAN,26,2608280,Caseville Public Schools,22,GE80,,,,,1,PS,,,,,21,GE80,7,GE50,15,GE50,,
MICHIGAN,26,2608400,Cass City Public Schools,112,85-89,2,PS,2,PS,1,PS,1,PS,,,106,85-89,11,GE50,57,70-79,,
MICHIGAN,26,2608430,Cassopolis Public Schools,156,60-64,1,PS,2,PS,33,70-79,2,PS,3,PS,115,55-59,12,GE50,72,60-64,,
MICHIGAN,26,2608520,Cedar Springs Public Schools,273,82,5,PS,2,PS,2,PS,7,LT50,2,PS,255,80-84,24,40-59,127,70-74,,
MICHIGAN,26,2608580,Center Line Public Schools,240,73,3,PS,17,GE80,27,60-79,1,PS,18,40-59,174,70-74,17,60-79,144,70-74,14,GE50
MICHIGAN,26,2608610,Central Lake Public Schools,29,GE80,,,,,,,,,,,29,GE80,2,PS,9,GE50,,
MICHIGAN,26,2608640,Central Montcalm Public Schools,124,85-89,,,,,2,PS,5,PS,1,PS,116,85-89,14,GE50,46,70-79,,
MICHIGAN,26,2608670,Centreville Public Schools,97,75-79,,,1,PS,5,PS,,,1,PS,88,75-79,8,GE50,51,60-69,,
MICHIGAN,26,2608730,Charlevoix Public Schools,123,80-84,4,PS,,,,,1,PS,1,PS,117,80-84,10,LT50,47,70-79,,
MICHIGAN,26,2608770,Charlotte Public Schools,219,81,1,PS,1,PS,3,PS,7,GE50,2,PS,205,80-84,15,LT50,74,70-74,,
MICHIGAN,26,2608880,Chassell Township School District,17,GE80,,,,,,,,,,,17,GE80,,,9,GE50,,
MICHIGAN,26,2608910,Cheboygan Area Schools,154,85-89,2,PS,,,,,,,5,PS,147,85-89,14,GE50,92,75-79,,
MICHIGAN,26,2608940,Chelsea School District,250,85,1,PS,4,PS,16,LE20,7,GE50,13,GE50,209,90-94,24,60-79,40,50-59,1,PS
MICHIGAN,26,2609150,Chesaning Union Schools,125,80-84,,,,,1,PS,7,GE50,3,PS,114,80-84,19,60-79,63,70-74,,
MICHIGAN,26,2609560,Chippewa Hills School District,158,70-74,10,GE50,2,PS,1,PS,4,PS,7,GE50,134,65-69,23,40-59,101,55-59,,
MICHIGAN,26,2609570,Chippewa Valley Schools,1233,87,3,PS,20,GE80,133,75-79,25,GE80,32,70-79,1020,89,145,70-74,323,74,32,80-89
MICHIGAN,26,2609750,Clare Public Schools,150,75-79,2,PS,,,1,PS,,,4,PS,143,75-79,11,GE50,72,60-64,,
MICHIGAN,26,2609840,Clarenceville School District,170,85-89,1,PS,8,GE50,41,80-89,4,PS,,,116,85-89,19,60-79,75,80-84,2,PS
MICHIGAN,26,2609900,Clarkston Community School District,696,86,2,PS,5,PS,22,60-79,25,60-79,11,GE50,631,87,84,55-59,149,65-69,3,PS
MICHIGAN,26,2609930,Clawson Public Schools,135,90-94,,,3,PS,32,GE90,4,PS,6,GE50,90,90-94,13,GE50,49,80-89,3,PS
MICHIGAN,26,2610020,Climax-Scotts Community Schools,83,70-74,,,,,2,PS,2,PS,,,79,70-74,6,LT50,41,50-59,,
MICHIGAN,26,2610050,Clinton Community Schools,106,90-94,,,1,PS,1,PS,2,PS,,,102,90-94,7,GE50,26,GE80,,
MICHIGAN,26,2610080,Clintondale Community Schools,980,18,9,LT50,9,LT50,817,14,6,GE50,2,PS,137,35-39,55,40-49,736,15,3,PS
MICHIGAN,26,2610110,Clio Area School District,335,59,3,PS,1,PS,21,LE20,5,PS,7,LT50,298,60-64,21,40-59,164,40-44,,
MICHIGAN,26,2610140,Coldwater Community Schools,308,65,2,PS,15,LT50,5,PS,21,40-59,8,GE50,257,65-69,35,50-59,174,45-49,34,20-29
MICHIGAN,26,2610200,Coleman Community Schools,62,85-89,,,,,,,2,PS,,,60,80-89,7,GE50,32,80-89,,
MICHIGAN,26,2610380,Coloma Community Schools,193,60-64,2,PS,2,PS,43,30-39,17,60-79,5,PS,124,65-69,18,60-79,132,50-54,,
MICHIGAN,26,2610410,Colon Community School District,34,GE90,,,,,1,PS,1,PS,,,32,GE90,5,PS,10,GE50,,
MICHIGAN,26,2610560,Fairview Area School District,34,70-79,,,,,,,,,,,34,70-79,4,PS,17,60-79,,
MICHIGAN,26,2610590,Comstock Public Schools,243,54,3,PS,1,PS,51,30-39,12,GE50,19,40-59,157,60-64,20,40-59,147,45-49,,
MICHIGAN,26,2610620,Comstock Park Public Schools,181,65-69,2,PS,,,11,GE50,24,40-59,6,GE50,138,70-74,13,LT50,87,55-59,7,LT50
MICHIGAN,26,2610650,Concord Community Schools,64,85-89,1,PS,,,,,,,,,62,85-89,9,GE50,22,60-79,1,PS
MICHIGAN,26,2610750,Constantine Public School District,116,70-74,,,,,1,PS,1,PS,,,114,70-74,11,LT50,60,70-79,,
MICHIGAN,26,2610830,Coopersville Area Public School District,188,GE95,1,PS,3,PS,,,7,GE50,,,177,GE95,13,GE50,41,80-89,2,PS
MICHIGAN,26,2610860,Corunna Public Schools,201,87,,,1,PS,1,PS,4,PS,,,195,85-89,12,LT50,90,75-79,,
MICHIGAN,26,2610980,Covert Public Schools,43,60-69,,,,,17,60-79,23,60-79,,,3,PS,5,PS,39,70-79,2,PS
MICHIGAN,26,2611030,Crawford AuSable Schools,164,70-74,1,PS,2,PS,2,PS,3,PS,3,PS,153,65-69,31,30-39,92,60-64,,
MICHIGAN,26,2611140,Croswell-Lexington Community Schools,119,90-94,,,,,,,3,PS,,,116,90-94,5,PS,58,80-89,,
MICHIGAN,26,2611190,Forest Park School District,53,80-89,,,,,,,,,,,53,80-89,4,PS,15,GE50,,
MICHIGAN,26,2611400,Dansville Schools,79,85-89,,,,,,,2,PS,,,77,85-89,9,GE50,22,60-79,,
MICHIGAN,26,2611430,Davison Community Schools,393,90,10,GE50,4,PS,7,GE50,10,GE50,8,GE50,354,90,34,70-79,144,75-79,,
MICHIGAN,26,2611550,DeWitt Public Schools,214,96,4,PS,6,GE50,4,PS,11,GE50,3,PS,186,GE95,10,GE50,21,GE80,3,PS
MICHIGAN,26,2611600,Dearborn City School District,1397,83,2,PS,13,GE50,76,70-74,29,60-79,1,PS,1276,83,159,65-69,834,82,396,79
MICHIGAN,26,2611610,Dearborn Heights School District #7,193,75-79,1,PS,2,PS,34,70-79,14,GE50,,,142,75-79,18,40-59,101,65-69,2,PS
MICHIGAN,26,2611640,Westwood Community School District,457,37,1,PS,7,LT50,244,50-54,12,LT50,2,PS,191,15-19,55,30-39,276,40-44,4,PS
MICHIGAN,26,2611670,Decatur Public Schools,68,GE95,,,1,PS,2,PS,10,GE50,1,PS,54,GE90,5,PS,34,GE90,6,GE50
MICHIGAN,26,2611700,Deckerville Community School District,55,80-89,,,,,,,3,PS,1,PS,51,80-89,3,PS,33,70-79,,
MICHIGAN,26,2611910,Delton Kellogg Schools,141,65-69,,,2,PS,,,5,PS,,,134,65-69,18,21-39,77,60-64,1,PS
MICHIGAN,26,2611970,DeTour Area Schools,18,GE80,4,PS,,,,,,,,,14,GE50,2,PS,9,GE50,,
MICHIGAN,26,2612000,Detroit City School District,5877,65,20,60-79,51,60-69,5357,66,351,59,,,98,40-44,925,47,4404,65,392,69
MICHIGAN,26,2612030,Dexter Community School District,320,93,2,PS,10,GE50,3,PS,5,PS,1,PS,299,90-94,23,60-79,37,80-89,1,PS
MICHIGAN,26,2612150,Dowagiac Union School District,159,60-64,2,PS,,,16,60-79,7,GE50,4,PS,130,65-69,12,GE50,89,50-54,1,PS
MICHIGAN,26,2612240,Dryden Community Schools,70,80-84,1,PS,,,,,,,1,PS,68,80-84,3,PS,18,60-79,,
MICHIGAN,26,2612300,Dundee Community Schools,141,80-84,,,,,2,PS,,,,,139,80-84,11,GE50,28,40-59,,
MICHIGAN,26,2612330,Durand Area Schools,124,70-74,,,1,PS,,,2,PS,,,121,70-74,16,60-79,56,60-69,,
MICHIGAN,26,2612420,East China School District,468,88,5,PS,3,PS,4,PS,5,PS,2,PS,449,89,27,40-59,134,70-74,,
MICHIGAN,26,2612450,East Detroit Public Schools,346,69,3,PS,7,GE50,181,70-74,9,GE50,5,PS,141,65-69,52,30-39,241,65-69,4,PS
MICHIGAN,26,2612480,East Grand Rapids Public Schools,239,91,,,7,GE50,12,GE50,4,PS,,,216,90-94,10,GE50,29,GE80,,
MICHIGAN,26,2612540,East Jackson Community Schools,83,80-84,,,3,PS,4,PS,,,,,76,85-89,11,GE50,45,80-89,,
MICHIGAN,26,2612560,East Jordan Public Schools,97,80-84,6,GE50,,,1,PS,2,PS,4,PS,84,85-89,15,GE50,50,70-79,,
MICHIGAN,26,2612600,East Lansing School District,277,88,2,PS,23,GE80,59,80-89,19,GE80,9,GE50,165,85-89,23,40-59,75,70-74,4,PS
MICHIGAN,26,2612690,Eaton Rapids Public Schools,255,76,3,PS,,,3,PS,21,60-79,2,PS,226,75-79,31,50-59,103,65-69,,
MICHIGAN,26,2612810,Eau Claire Public Schools,63,80-84,,,,,11,GE50,13,GE50,2,PS,37,80-89,4,PS,43,80-89,5,PS
MICHIGAN,26,2612930,Ecorse Public Schools,142,55-59,2,PS,,,120,60-64,5,PS,2,PS,13,LT50,12,LT50,110,55-59,2,PS
MICHIGAN,26,2612960,Montabella Community Schools,63,80-84,2,PS,,,,,3,PS,6,GE50,52,80-89,12,GE50,41,80-89,,
MICHIGAN,26,2612990,Edwardsburg Public Schools,181,GE95,1,PS,2,PS,4,PS,3,PS,1,PS,170,GE95,16,60-79,50,GE90,,
MICHIGAN,26,2613050,Elk Rapids Schools,123,85-89,2,PS,2,PS,,,4,PS,,,115,85-89,5,PS,35,70-79,,
MICHIGAN,26,2613090,Elkton-Pigeon-Bay Port Laker Schools,99,90-94,,,,,3,PS,5,PS,,,91,90-94,11,GE50,50,80-89,,
MICHIGAN,26,2613110,Ellsworth Community School,17,GE80,,,,,,,,,1,PS,16,GE80,1,PS,9,GE50,,
MICHIGAN,26,2613500,Escanaba Area Public Schools,224,84,9,GE50,,,,,1,PS,2,PS,212,80-84,24,60-79,89,70-74,,
MICHIGAN,26,2613530,Essexville-Hampton Public Schools,131,90-94,,,3,PS,3,PS,7,GE50,,,118,90-94,14,GE50,30,GE80,,
MICHIGAN,26,2613560,Evart Public Schools,97,65-69,,,,,2,PS,4,PS,,,91,65-69,17,21-39,59,40-49,,
MICHIGAN,26,2614070,Farmington Public School District,1000,88,,,61,GE95,254,75-79,15,GE50,59,80-89,611,91,107,50-54,287,75-79,43,80-89
MICHIGAN,26,2614100,Farwell Area Schools,96,75-79,2,PS,,,,,1,PS,2,PS,91,75-79,16,60-79,56,70-79,,
