STNAM,FIPST,leaid11,leanm11,ALL_COHORT_1112,ALL_RATE_1112,MAM_COHORT_1112,MAM_RATE_1112,MAS_COHORT_1112,MAS_RATE_1112,MBL_COHORT_1112,MBL_RATE_1112,MHI_COHORT_1112,MHI_RATE_1112,MTR_COHORT_1112,MTR_RATE_1112,MWH_COHORT_1112,MWH_RATE_1112,CWD_COHORT_1112,CWD_RATE_1112,ECD_COHORT_1112,ECD_RATE_1112,LEP_COHORT_1112,LEP_RATE_1112
ALABAMA,01,0100005,Albertville City,268,83,,,,,6,GE50,49,60-69,,,213,85-89,18,60-79,107,70-74,9,LT50
ALABAMA,01,0100006,Marshall County,424,79,2,PS,1,PS,4,PS,26,60-79,,,391,79,66,70-74,250,70-74,9,LT50
ALABAMA,01,0100007,Hoover City,1042,91,1,PS,71,85-89,224,85-89,52,60-69,5,PS,688,94,63,70-74,216,75-79,21,21-39
ALABAMA,01,0100008,Madison City,836,91,4,PS,44,GE90,195,85-89,23,60-79,2,PS,566,93,72,60-64,163,80-84,7,GE50
ALABAMA,01,0100011,Leeds City,117,70-74,,,,,44,60-69,11,GE50,,,62,75-79,18,60-79,83,65-69,3,PS
ALABAMA,01,0100012,Boaz City,155,90-94,,,3,PS,2,PS,15,GE50,1,PS,133,90-94,14,GE50,68,85-89,1,PS
ALABAMA,01,0100013,Trussville City,300,93,1,PS,2,PS,33,GE90,3,PS,,,261,90-94,20,40-59,45,80-89,4,PS
ALABAMA,01,0100030,Alexander City,289,78,1,PS,4,PS,112,70-74,6,LT50,,,166,80-84,43,60-69,139,70-74,2,PS
ALABAMA,01,0100060,Andalusia City,109,75-79,,,1,PS,46,60-69,,,,,61,80-84,3,PS,52,60-69,1,PS
ALABAMA,01,0100090,Anniston City,207,65,,,,,202,65-69,1,PS,,,4,PS,25,40-59,181,65-69,,
ALABAMA,01,0100100,Arab City,190,90-94,2,PS,3,PS,2,PS,,,,,182,90-94,15,GE50,50,80-89,3,PS
ALABAMA,01,0100120,Athens City,225,87,2,PS,,,64,80-84,16,GE80,,,143,90-94,15,GE50,79,75-79,1,PS
ALABAMA,01,0100180,Attalla City,224,63,,,,,25,60-79,7,GE50,,,192,60-64,40,50-59,148,55-59,4,PS
ALABAMA,01,0100185,Saraland City,164,75-79,,,,,36,70-79,,,,,127,75-79,19,40-59,84,75-79,1,PS
ALABAMA,01,0100210,Auburn City,489,88,1,PS,42,GE90,141,80-84,5,PS,,,299,90-94,29,40-59,110,75-79,10,GE50
ALABAMA,01,0100240,Autauga County,768,81,3,PS,11,GE50,230,75-79,9,GE50,1,PS,514,82,63,60-64,306,72,8,GE50
ALABAMA,01,0100270,Baldwin County,2321,74,25,GE80,21,60-79,382,64,72,60-64,4,PS,1815,77,285,45-49,859,59,37,20-29
ALABAMA,01,0100300,Barbour County,81,60-64,,,,,74,65-69,,,,,6,LT50,8,GE50,81,60-64,1,PS
ALABAMA,01,0100330,Bessemer City,404,40,,,,,383,41,14,LT50,,,6,LT50,60,20-29,315,38,9,LT50
ALABAMA,01,0100360,Bibb County,268,80,1,PS,,,67,75-79,4,PS,1,PS,195,80-84,28,60-79,171,75-79,,
ALABAMA,01,0100390,Birmingham City,2417,56,1,PS,3,PS,2352,57,40,20-29,2,PS,18,LE20,323,37,1989,56,25,LE20
ALABAMA,01,0100420,Blount County,630,83,,,1,PS,5,PS,63,75-79,1,PS,560,84,58,50-59,301,75,8,LT50
ALABAMA,01,0100450,Brewton City,95,85-89,2,PS,2,PS,40,70-79,1,PS,,,50,GE90,3,PS,26,60-79,1,PS
ALABAMA,01,0100480,Bullock County,170,70-74,,,,,166,70-74,4,PS,,,,,28,60-79,157,65-69,1,PS
ALABAMA,01,0100510,Butler County,307,66,,,2,PS,192,65-69,2,PS,,,111,60-64,36,50-59,213,65-69,3,PS
ALABAMA,01,0100540,Calhoun County,704,81,2,PS,,,118,75-79,9,GE50,2,PS,573,82,67,60-64,355,74,,
ALABAMA,01,0100600,Chambers County,303,76,,,,,171,80-84,,,,,132,70-74,38,30-39,205,70-74,,
ALABAMA,01,0100630,Cherokee County,305,74,10,GE50,,,16,GE80,,,,,278,70-74,28,40-59,171,65-69,,
ALABAMA,01,0100660,Chilton County,568,76,,,6,GE50,86,60-64,26,60-79,1,PS,448,78,68,55-59,307,68,8,LT50
ALABAMA,01,0100690,Choctaw County,133,75-79,,,,,95,75-79,,,,,38,70-79,11,GE50,84,75-79,,
ALABAMA,01,0100720,Clarke County,293,67,1,PS,,,200,65-69,,,,,91,65-69,32,11-19,207,60-64,,
ALABAMA,01,0100750,Clay County,171,75-79,,,1,PS,48,70-79,3,PS,,,119,80-84,30,60-79,94,70-74,1,PS
ALABAMA,01,0100780,Cleburne County,208,89,,,,,12,GE50,7,GE50,,,189,90-94,17,40-59,110,85-89,1,PS
ALABAMA,01,0100810,Coffee County,161,90-94,4,PS,1,PS,11,GE50,1,PS,,,144,90-94,19,GE80,74,90-94,,
ALABAMA,01,0100840,Colbert County,267,63,3,PS,1,PS,41,60-69,3,PS,1,PS,218,60-64,29,40-59,155,55-59,1,PS
ALABAMA,01,0100870,Conecuh County,139,80-84,,,,,123,85-89,,,,,16,40-59,22,40-59,115,85-89,,
ALABAMA,01,0100900,Coosa County,92,75-79,,,,,44,70-79,,,1,PS,46,80-89,20,GE80,69,70-74,1,PS
ALABAMA,01,0100930,Covington County,237,81,1,PS,,,22,GE80,3,PS,,,211,80-84,29,60-79,143,80-84,,
ALABAMA,01,0100960,Crenshaw County,174,90-94,,,1,PS,70,90-94,,,,,102,90-94,19,GE80,96,85-89,,
ALABAMA,01,0100990,Cullman City,231,93,3,PS,3,PS,4,PS,9,GE50,,,212,90-94,10,GE50,46,80-89,3,PS
ALABAMA,01,0101020,Cullman County,776,80,3,PS,2,PS,7,GE50,27,40-59,,,737,80,69,60-64,372,72,9,LT50
ALABAMA,01,0101050,Dale County,219,80,2,PS,1,PS,47,70-79,4,PS,,,165,80-84,21,40-59,112,75-79,,
ALABAMA,01,0101080,Daleville City,86,85-89,,,2,PS,33,80-89,9,GE50,,,42,80-89,8,GE50,38,80-89,,
ALABAMA,01,0101110,Dallas County,327,71,,,,,254,65-69,,,,,73,80-84,45,60-69,268,65-69,,
ALABAMA,01,0101140,Dekalb County,609,81,102,90-94,1,PS,8,GE50,71,70-74,,,425,80,72,55-59,350,75,27,40-59
ALABAMA,01,0101170,Decatur City,712,71,4,PS,7,GE50,268,60-64,77,65-69,8,GE50,348,77,91,45-49,380,59,31,40-49
ALABAMA,01,0101200,Demopolis City,205,88,,,1,PS,97,85-89,4,PS,,,103,85-89,8,GE50,107,80-84,,
ALABAMA,01,0101230,Dothan City,569,87,1,PS,8,GE50,279,80-84,18,GE80,1,PS,262,90-94,55,50-59,311,81,7,GE50
ALABAMA,01,0101260,Elba City,69,65-69,1,PS,,,36,60-69,,,,,32,60-69,7,LT50,46,50-59,,
ALABAMA,01,0101290,Elmore County,973,74,3,PS,7,GE50,275,65-69,16,40-59,3,PS,668,78,109,50-54,428,65,10,LT50
ALABAMA,01,0101320,Enterprise City,522,85,2,PS,9,GE50,148,75-79,31,80-89,,,330,90,51,60-69,162,80-84,7,GE50
ALABAMA,01,0101350,Escambia County,326,74,10,GE50,,,141,65-69,,,3,PS,171,75-79,34,50-59,212,70-74,,
ALABAMA,01,0101380,Etowah County,663,82,,,6,GE50,44,50-59,12,GE50,,,601,84,67,70-74,271,75-79,1,PS
ALABAMA,01,0101410,Eufaula City,253,72,,,2,PS,142,65-69,4,PS,,,105,80-84,24,40-59,150,65-69,3,PS
ALABAMA,01,0101440,Fairfield City,195,60-64,,,,,195,60-64,,,,,,,22,21-39,155,55-59,,
ALABAMA,01,0101470,Fayette County,176,75-79,,,,,25,GE80,,,,,151,75-79,17,40-59,90,70-74,,
ALABAMA,01,0101530,Florence City,356,84,2,PS,3,PS,121,80-84,21,GE80,,,209,80-84,34,60-69,165,70-74,,
ALABAMA,01,0101560,Fort Payne City,206,92,,,,,14,GE50,35,80-89,6,GE50,149,GE95,4,PS,94,90-94,10,GE50
ALABAMA,01,0101590,Franklin County,256,85,2,PS,1,PS,4,PS,19,GE80,,,230,85-89,32,70-79,153,80-84,5,PS
ALABAMA,01,0101620,Gadsden City,393,75,2,PS,3,PS,239,75-79,17,40-59,,,132,75-79,66,70-74,264,70-74,6,GE50
ALABAMA,01,0101640,Geneva City,96,90-94,,,1,PS,12,GE50,,,,,83,90-94,9,GE50,46,80-89,,
ALABAMA,01,0101660,Geneva County,232,79,1,PS,4,PS,33,80-89,9,GE50,,,185,75-79,34,60-69,122,70-74,2,PS
ALABAMA,01,0101680,Greene County,116,60-64,,,,,116,60-64,,,,,,,13,LT50,105,60-64,,
ALABAMA,01,0101690,Guntersville City,135,85-89,1,PS,3,PS,19,60-79,2,PS,,,109,90-94,12,GE50,59,70-79,,
ALABAMA,01,0101710,Hale County,265,71,1,PS,,,206,70-74,,,,,57,70-79,20,40-59,191,70-74,1,PS
ALABAMA,01,0101720,Haleyville City,135,85-89,1,PS,1,PS,2,PS,3,PS,,,128,85-89,17,60-79,76,75-79,,
ALABAMA,01,0101730,Hartselle City,249,84,1,PS,2,PS,20,60-79,6,GE50,1,PS,219,85-89,27,60-79,57,60-69,3,PS
ALABAMA,01,0101740,Henry County,245,70,,,1,PS,113,60-64,8,LT50,,,123,75-79,23,21-39,143,60-64,2,PS
ALABAMA,01,0101760,Homewood City,223,91,1,PS,5,PS,66,90-94,19,60-79,1,PS,131,90-94,12,GE50,57,80-89,8,LT50
ALABAMA,01,0101770,Houston County,486,87,1,PS,1,PS,89,80-84,6,GE50,,,389,88,39,70-79,250,80-84,1,PS
ALABAMA,01,0101800,Huntsville City,1813,77,8,GE50,49,GE90,746,66,76,65-69,5,PS,926,85,195,50-54,681,61,27,40-59
ALABAMA,01,0101830,Jackson County,398,85,56,GE90,1,PS,14,GE50,5,PS,,,322,86,34,60-69,237,80-84,2,PS
ALABAMA,01,0101860,Jacksonville City,119,85-89,,,3,PS,32,70-79,2,PS,2,PS,80,85-89,9,GE50,44,70-79,1,PS
ALABAMA,01,0101890,Jasper City,178,85-89,,,2,PS,33,70-79,6,GE50,,,137,85-89,22,60-79,62,70-74,3,PS
ALABAMA,01,0101920,Jefferson County,2797,81,2,PS,13,GE50,1293,78,87,65-69,7,GE50,1391,85,374,62,1308,75,28,21-39
ALABAMA,01,0101950,Lamar County,197,65-69,,,,,48,50-59,2,PS,,,147,70-74,15,LT50,108,50-54,,
ALABAMA,01,0101980,Lanett City,49,70-79,,,,,45,80-89,,,1,PS,3,PS,4,PS,41,70-79,,
ALABAMA,01,0102010,Lauderdale County,659,85,,,1,PS,26,60-79,6,GE50,,,626,86,76,60-64,259,75-79,,
ALABAMA,01,0102040,Lawrence County,430,86,97,90-94,1,PS,76,80-84,5,PS,3,PS,248,80-84,39,70-79,252,80-84,1,PS
ALABAMA,01,0102070,Lee County,824,83,2,PS,8,GE50,200,80-84,25,GE80,1,PS,587,84,59,60-69,380,78,1,PS
ALABAMA,01,0102100,Limestone County,732,86,4,PS,4,PS,72,75-79,43,80-89,3,PS,605,87,65,80-84,250,75-79,7,GE50
ALABAMA,01,0102130,Linden City,44,80-89,,,,,44,80-89,,,,,,,4,PS,41,80-89,,
ALABAMA,01,0102160,Lowndes County,145,65-69,,,,,140,65-69,,,2,PS,3,PS,22,40-59,138,65-69,,
ALABAMA,01,0102190,Macon County,236,83,,,,,235,80-84,,,,,1,PS,19,GE80,235,80-84,,
ALABAMA,01,0102220,Madison County,1707,76,70,75-79,27,GE80,373,73,43,70-79,1,PS,1192,77,140,45-49,555,58,5,PS
ALABAMA,01,0102250,Marengo County,128,80-84,,,,,95,75-79,1,PS,,,31,GE90,5,PS,100,75-79,,
ALABAMA,01,0102310,Marion County,309,72,,,,,11,GE50,3,PS,1,PS,294,70-74,32,40-49,174,65-69,1,PS
ALABAMA,01,0102350,Midfield City,119,60-64,1,PS,,,116,60-64,,,1,PS,1,PS,13,LT50,85,55-59,,
ALABAMA,01,0102370,Mobile County,5366,68,45,80-89,120,75-79,2862,63,88,65-69,3,PS,2245,74,636,52,3379,63,62,40-44
ALABAMA,01,0102400,Monroe County,347,76,4,PS,,,202,70-74,,,,,140,80-84,38,60-69,239,70-74,,
ALABAMA,01,0102430,Montgomery County,2137,64,4,PS,55,80-89,1778,62,37,40-49,4,PS,259,70-74,257,25-29,1413,57,25,21-39
ALABAMA,01,0102480,Morgan County,621,78,6,GE50,2,PS,17,60-79,20,60-79,,,576,78,78,45-49,275,65-69,11,LT50
ALABAMA,01,0102490,Mountain Brook City,336,98,,,,,1,PS,3,PS,1,PS,331,98,13,GE50,,,,
ALABAMA,01,0102520,Muscle Shoals City,223,94,1,PS,2,PS,37,80-89,2,PS,,,180,GE95,14,GE50,51,80-89,,
ALABAMA,01,0102550,Oneonta City,108,GE95,,,1,PS,6,GE50,19,GE80,,,82,GE95,7,GE50,37,80-89,7,GE50
ALABAMA,01,0102580,Opelika City,320,81,1,PS,5,PS,194,75-79,12,GE50,2,PS,106,90-94,24,40-59,181,75-79,2,PS
ALABAMA,01,0102610,Opp City,108,80-84,,,,,22,GE80,,,,,86,85-89,13,GE50,48,70-79,,
ALABAMA,01,0102635,Oxford City,302,90,,,2,PS,67,85-89,15,GE50,1,PS,217,90-94,19,GE80,122,75-79,3,PS
ALABAMA,01,0102640,Ozark City,217,69,1,PS,1,PS,102,65-69,3,PS,1,PS,109,70-74,10,LT50,97,65-69,,
ALABAMA,01,0102650,Pell City,316,84,1,PS,3,PS,54,80-89,4,PS,1,PS,252,80-84,40,60-69,138,70-74,,
ALABAMA,01,0102670,Perry County,144,90-94,,,,,141,90-94,,,,,3,PS,7,GE50,141,90-94,,
ALABAMA,01,0102700,Phenix City,562,70,1,PS,6,GE50,361,70,9,GE50,1,PS,182,70-74,51,60-69,342,72,,
ALABAMA,01,0102730,Pickens County,221,81,,,,,137,70-74,,,,,84,90-94,22,40-59,146,70-74,,
ALABAMA,01,0102760,Piedmont City,86,90-94,,,,,16,GE80,1,PS,,,69,90-94,11,GE50,47,80-89,,
ALABAMA,01,0102790,Pike County,187,65-69,1,PS,,,91,65-69,4,PS,,,90,65-69,18,40-59,132,65-69,,
ALABAMA,01,0102820,Randolph County,182,65-69,,,,,31,50-59,,,1,PS,148,70-74,18,60-79,109,60-64,,
ALABAMA,01,0102850,Roanoke City,109,90-94,,,,,53,80-89,1,PS,,,55,GE90,11,GE50,69,85-89,,
ALABAMA,01,0102880,Russell County,311,58,1,PS,,,122,65-69,7,GE50,5,PS,176,50-54,15,GE50,192,55-59,1,PS
ALABAMA,01,0102910,Russellville City,157,85-89,1,PS,,,16,GE80,42,GE90,,,98,85-89,14,LT50,94,80-84,6,LT50
ALABAMA,01,0102940,Scottsboro City,203,79,,,1,PS,16,60-79,5,PS,,,181,80-84,21,40-59,81,60-64,1,PS
ALABAMA,01,0102970,Selma City,255,74,,,,,254,70-74,,,,,1,PS,18,60-79,198,70-74,,
ALABAMA,01,0103000,Sheffield City,95,75-79,,,,,44,70-79,,,1,PS,50,70-79,12,GE50,57,70-79,,
ALABAMA,01,0103030,Shelby County,1942,89,1,PS,39,GE90,289,80-84,119,75-79,11,GE50,1483,91,127,50-54,524,77,34,30-39
ALABAMA,01,0103062,St Clair County,708,74,1,PS,,,77,70-74,17,GE80,1,PS,609,74,75,60-64,313,64,5,PS
ALABAMA,01,0103090,Sumter County,227,73,,,,,224,70-74,,,1,PS,1,PS,26,60-79,196,70-74,,
ALABAMA,01,0103120,Sylacauga City,208,70,,,,,94,60-64,,,,,114,75-79,15,LT50,121,60-64,,
ALABAMA,01,0103150,Talladega City,193,75-79,,,1,PS,116,75-79,2,PS,,,74,70-74,21,40-59,133,70-74,,
ALABAMA,01,0103180,Talladega County,605,81,,,1,PS,244,80-84,8,GE50,,,352,80,57,70-79,432,79,,
ALABAMA,01,0103210,Tallapoosa County,249,79,,,,,94,70-74,4,PS,,,151,80-84,29,60-79,169,80-84,,
ALABAMA,01,0103240,Tallassee City,148,75-79,,,,,48,80-89,3,PS,,,97,70-74,14,GE50,85,70-74,,
ALABAMA,01,0103270,Tarrant City,94,70-74,,,,,76,75-79,5,PS,,,13,GE50,14,GE50,88,75-79,1,PS
ALABAMA,01,0103300,Thomasville City,134,85-89,,,1,PS,67,85-89,,,,,66,80-84,15,GE50,84,80-84,,
ALABAMA,01,0103330,Troy City,198,55-59,5,PS,,,131,50-54,1,PS,,,61,70-74,23,21-39,103,45-49,,
ALABAMA,01,0103360,Tuscaloosa City,787,71,,,15,GE50,598,65,20,60-79,1,PS,153,90-94,121,35-39,464,62,6,GE50
ALABAMA,01,0103390,Tuscaloosa County,1267,74,1,PS,9,GE50,386,69,28,60-79,5,PS,835,77,117,35-39,619,62,7,LT50
ALABAMA,01,0103420,Tuscumbia City,112,80-84,,,,,43,70-79,,,,,69,85-89,11,GE50,44,70-79,,
ALABAMA,01,0103430,Vestavia Hills City,413,97,1,PS,15,GE50,31,80-89,2,PS,1,PS,363,98,27,60-79,28,GE80,,
ALABAMA,01,0103450,Walker County,647,77,,,,,37,70-79,7,GE50,1,PS,600,77,79,70-74,426,71,,
ALABAMA,01,0103480,Washington County,284,85,19,60-79,,,101,85-89,,,,,163,85-89,33,70-79,159,80-84,1,PS
ALABAMA,01,0103510,Wilcox County,170,75-79,,,,,169,75-79,,,,,1,PS,15,GE50,165,75-79,,
ALABAMA,01,0103540,Winfield City,80,85-89,,,,,3,PS,1,PS,,,76,85-89,4,PS,26,60-79,,
ALABAMA,01,0103580,Winston County,234,85,,,,,,,,,,,233,85-89,31,80-89,140,80-84,,
ALASKA,02,0200001,Lower Kuskokwim School District,246,44,229,40-44,1,PS,,,,,,,16,60-79,29,LE20,182,35-39,156,40-44
ALASKA,02,0200003,Lower Yukon School District,105,40-44,105,40-44,,,,,,,,,,,5,PS,78,40-44,83,40-44
ALASKA,02,0200004,Yupiit School District,31,30-39,29,21-39,,,,,,,1,PS,1,PS,4,PS,31,30-39,23,21-39
ALASKA,02,0200005,Kashunamiut School District,32,50-59,32,50-59,,,,,,,,,,,,,23,40-59,20,40-59
ALASKA,02,0200006,Mount Edgecumbe High School Agency,83,GE95,62,GE95,1,PS,,,,,15,GE50,5,PS,3,PS,35,GE90,7,GE50
ALASKA,02,0200007,Aleutians East Borough School District,20,60-79,16,60-79,1,PS,,,,,,,3,PS,1,PS,10,GE50,,
ALASKA,02,0200010,Aleutian Region School District,3,PS,2,PS,,,,,1,PS,,,,,,,2,PS,,
ALASKA,02,0200020,Bering Strait School District,102,60-64,100,55-59,1,PS,,,,,,,1,PS,7,LT50,102,60-64,62,45-49
ALASKA,02,0200030,Bristol Bay Borough School District,16,60-79,11,GE50,,,,,1,PS,,,3,PS,1,PS,3,PS,,
ALASKA,02,0200050,Alaska Gateway School District,34,30-39,18,21-39,,,,,1,PS,,,15,LT50,3,PS,30,21-39,5,PS
ALASKA,02,0200060,Cordova City School District,26,GE80,4,PS,6,GE50,1,PS,2,PS,,,13,GE50,1,PS,17,GE80,1,PS
ALASKA,02,0200070,Copper River School District,34,70-79,14,GE50,1,PS,,,,,1,PS,18,60-79,7,LT50,15,GE50,,
ALASKA,02,0200090,Craig City School District,41,40-49,12,GE50,1,PS,,,2,PS,5,PS,21,21-39,2,PS,15,GE50,,
ALASKA,02,0200100,Delta/Greely School District,81,55-59,11,LT50,,,1,PS,1,PS,3,PS,61,60-64,10,GE50,25,60-79,9,LT50
ALASKA,02,0200120,Dillingham City School District,38,60-69,25,40-59,,,,,,,6,GE50,7,GE50,5,PS,26,60-79,,
ALASKA,02,0200130,Galena City School District,306,73,73,60-64,4,PS,3,PS,4,PS,4,PS,218,75-79,13,LT50,131,70-74,,
ALASKA,02,0200150,Ketchikan Gateway Borough School District,218,77,52,50-59,21,GE80,1,PS,5,PS,2,PS,137,80-84,23,60-79,57,60-69,6,GE50
ALASKA,02,0200180,Anchorage School District,3738,73,295,40-44,578,76,248,60-64,345,71,377,69,1895,79,399,42,1324,57,315,51
ALASKA,02,0200210,Juneau Borough School District,446,70,113,55-59,48,70-79,2,PS,25,60-79,6,GE50,252,75-79,64,50-54,103,45-49,25,21-39
ALASKA,02,0200240,Sitka School District,123,70-74,35,50-59,8,GE50,1,PS,3,PS,4,PS,72,80-84,17,40-59,38,40-49,6,GE50
ALASKA,02,0200270,Haines Borough School District,27,GE80,6,GE50,,,,,,,,,21,GE80,3,PS,12,GE50,,
ALASKA,02,0200300,Hoonah City School District,9,GE50,5,PS,,,,,,,1,PS,3,PS,4,PS,7,LT50,,
ALASKA,02,0200330,Hydaburg City School District,4,PS,4,PS,,,,,,,,,,,,,2,PS,,
ALASKA,02,0200360,Kake City School District,1,PS,1,PS,,,,,,,,,,,,,1,PS,,
ALASKA,02,0200390,Kenai Peninsula Borough School District,779,79,93,65-69,12,GE50,8,GE50,29,60-79,22,60-79,615,81,72,60-64,312,74,16,60-79
ALASKA,02,0200450,Klawock City School District,15,GE50,10,GE50,,,,,,,,,5,PS,3,PS,13,GE50,,
ALASKA,02,0200480,Kodiak Island Borough School District,230,80,38,60-69,66,80-84,1,PS,22,60-79,7,GE50,96,85-89,24,60-79,91,75-79,21,60-79
ALASKA,02,0200485,Lake and Peninsula Borough School District,22,40-59,21,40-59,,,,,,,,,1,PS,4,PS,17,40-59,,
ALASKA,02,0200510,Matanuska-Susitna Borough School District,1413,72,215,60-64,53,70-79,34,60-69,34,60-69,7,LT50,1070,74,156,50-54,471,67,23,60-79
ALASKA,02,0200520,Iditarod Area School District,42,40-49,15,LT50,,,,,,,4,PS,22,21-39,2,PS,18,21-39,3,PS
ALASKA,02,0200525,Annette Island School District,33,70-79,29,60-79,2,PS,,,,,,,2,PS,5,PS,33,70-79,,
ALASKA,02,0200540,Nenana City School District,205,27,40,30-39,,,12,LT50,16,LE20,6,LT50,114,30-34,11,LT50,10,GE50,12,LT50
ALASKA,02,0200570,Nome Public Schools,37,50-59,25,40-59,,,,,1,PS,5,PS,6,GE50,3,PS,19,40-59,2,PS
ALASKA,02,0200600,Fairbanks North Star Borough School District,1016,70,112,45-49,37,GE90,60,60-69,58,60-69,71,60-64,678,74,118,40-44,216,45-49,17,21-39
ALASKA,02,0200610,North Slope Borough School District,111,55-59,91,50-54,10,GE50,1,PS,,,5,PS,3,PS,13,LT50,53,40-49,35,40-49
ALASKA,02,0200625,Northwest Arctic Borough School District,131,50-54,126,50-54,1,PS,,,,,1,PS,3,PS,18,21-39,89,45-49,55,40-49
ALASKA,02,0200630,Pelican City School District,3,PS,,,,,,,,,3,PS,,,1,PS,2,PS,,
ALASKA,02,0200660,Petersburg City School District,28,GE80,2,PS,2,PS,,,,,1,PS,22,GE80,5,PS,11,GE50,2,PS
ALASKA,02,0200670,Pribilof School District,5,PS,5,PS,,,,,,,,,,,1,PS,2,PS,,
ALASKA,02,0200680,Saint Mary's School District,11,LT50,11,LT50,,,,,,,,,,,,,9,LT50,,
ALASKA,02,0200690,Skagway City School District,5,PS,,,,,,,,,,,5,PS,,,1,PS,,
ALASKA,02,0200700,Southeast Island School District,18,60-79,2,PS,,,,,1,PS,,,15,GE50,3,PS,15,GE50,,
ALASKA,02,0200710,Southwest Region School District,55,50-59,55,50-59,,,,,,,,,,,1,PS,51,60-69,19,21-39
ALASKA,02,0200715,Tanana City School District,3,PS,3,PS,,,,,,,,,,,,,2,PS,,
ALASKA,02,0200720,Unalaska City School District,46,80-89,7,GE50,12,GE50,2,PS,7,GE50,,,18,GE80,,,6,GE50,3,PS
ALASKA,02,0200730,Chatham School District,10,GE50,5,PS,,,,,,,,,5,PS,1,PS,2,PS,,
ALASKA,02,0200760,Kuspuk School District,32,50-59,30,40-59,,,,,,,,,2,PS,5,PS,19,40-59,18,40-59
ALASKA,02,0200770,Denali Borough School District,27,40-59,1,PS,2,PS,,,,,,,24,40-59,,,1,PS,,
ALASKA,02,0200775,Yukon Flats School District,16,LE20,16,LE20,,,,,,,,,,,2,PS,11,LT50,4,PS
ALASKA,02,0200780,Valdez City School District,65,90-94,16,GE80,1,PS,,,,,1,PS,46,GE90,9,GE50,15,GE50,,
ALASKA,02,0200800,Chugach School District,18,60-79,6,LT50,1,PS,,,1,PS,4,PS,6,GE50,1,PS,8,GE50,1,PS
ALASKA,02,0200810,Wrangell Public School District,31,80-89,6,GE50,,,,,,,,,25,GE80,4,PS,16,GE80,,
ALASKA,02,0200840,Yakutat School District,14,GE50,5,PS,2,PS,,,2,PS,,,5,PS,1,PS,10,GE50,,
ALASKA,02,0200862,Yukon/Koyukuk School District,156,40-44,50,40-49,,,6,LT50,,,5,PS,88,50-54,10,GE50,85,40-44,7,GE50
ARIZONA,04,0400001,Cave Creek Unified District,437,92,1,PS,11,GE50,5,PS,28,GE80,,,391,92,31,70-79,56,80-89,,
ARIZONA,04,0400003,Chino Valley Unified District,207,72,2,PS,,,,,53,70-79,,,149,75-79,26,60-79,118,65-69,,
ARIZONA,04,0400016,Center for Academic Success  Inc.,78,55-59,1,PS,,,5,PS,39,60-69,,,30,60-79,4,PS,44,60-69,6,GE50
ARIZONA,04,0400019,Flagstaff Arts And Leadership Academy,38,80-89,3,PS,1,PS,2,PS,1,PS,,,29,GE80,5,PS,8,GE50,,
ARIZONA,04,0400021,Colorado City Unified District,37,60-69,,,,,,,,,,,36,60-69,1,PS,22,60-79,,
ARIZONA,04,0400023,Pinon Unified District,102,65-69,102,65-69,,,,,,,,,,,10,GE50,86,65-69,9,LT50
ARIZONA,04,0400026,Heber-Overgaard Unified District,42,80-89,1,PS,1,PS,,,5,PS,,,35,80-89,6,GE50,14,GE50,1,PS
ARIZONA,04,0400036,Foothills Academy,13,GE50,,,,,1,PS,1,PS,,,11,GE50,,,,,,
ARIZONA,04,0400041,Maricopa County Community College District dba Gateway Early,46,GE90,,,,,5,PS,37,80-89,,,3,PS,2,PS,44,GE90,,
ARIZONA,04,0400043,New School For The Arts,58,80-89,1,PS,1,PS,2,PS,10,GE50,,,43,80-89,9,GE50,,,,
ARIZONA,04,0400047,Salt River Pima-Maricopa  Community Schools,76,35-39,59,30-39,,,1,PS,13,LT50,,,3,PS,19,40-59,41,30-39,,
ARIZONA,04,0400052,Espiritu Community Development Corp.,42,80-89,,,,,,,40,GE90,,,2,PS,6,GE50,35,80-89,2,PS
ARIZONA,04,0400053,Heritage Academy  Inc.,65,90-94,,,,,2,PS,7,GE50,,,56,GE90,1,PS,,,,
ARIZONA,04,0400056,Arizona School For The Arts,56,GE90,,,1,PS,4,PS,12,GE50,,,38,GE90,1,PS,,,,
ARIZONA,04,0400057,Arizona Call-a-Teen Youth Resources  Inc.,46,20-29,2,PS,,,1,PS,41,11-19,,,,,4,PS,43,20-29,,
ARIZONA,04,0400061,Intelli-School  Inc.,62,15-19,1,PS,,,3,PS,22,21-39,,,36,11-19,7,LT50,49,20-29,,
ARIZONA,04,0400067,Victory High School  Inc.,3,PS,,,,,,,,,,,,,,,,,,
ARIZONA,04,0400070,Tempe Preparatory Academy,53,GE90,,,4,PS,,,7,GE50,,,37,GE90,,,4,PS,,
ARIZONA,04,0400072,Montessori Education Centre Charter School,1,PS,,,,,,,,,,,1,PS,,,,,,
ARIZONA,04,0400074,Kingman Academy Of Learning,95,85-89,,,1,PS,1,PS,9,GE50,,,81,90-94,17,GE80,29,GE80,,
ARIZONA,04,0400077,Career Development  Inc.,32,30-39,10,LT50,,,1,PS,,,,,18,40-59,6,LT50,26,21-39,,
ARIZONA,04,0400078,Edge School  Inc.  The,123,65-69,2,PS,6,LT50,5,PS,45,60-69,,,62,65-69,8,GE50,86,55-59,5,PS
